,link_text,href
0,Migrant Workers and Overseas Filipinos Act of 1995 Republic Act No. 8042,https://www.chanrobles.com/republicactno8042.htm
1,Omnibus Implementing Rules of the Migrant Workers and Overseas Filipinos Act of 1995 [Republic Act No. 8042],https://www.chanrobles.com/republicactno8042rules.htm
2,Overseas Workers' Investment (OWI) Fund Act Republic Act No. 7111,https://www.chanrobles.com/republicactno7111.htm
3,"Welfare Fund for Overseas Workers (Amending Certain Provisions of Presidential Decree 1694, Creating the ""Welfare Fund for Overseas Workers"") Presidential Decree No. 1809",https://www.chanrobles.com/presidentialdecreeno1809.htm
4,Welfare Fund for Overseas Workers (Organization and Administration of the Welfare Fund for Overseas Workers) Presidential Decree No. 1694,https://www.chanrobles.com/presidentialdecreeno1694.htm
5,An Act Creating the Commission on Filipinos Overseas and for Other Purposes. Batas Pambansa Bilang 79,https://www.chanrobles.com/bataspambansabilang79.htm
6,Handbook For Overseas Filipinos,https://www.chanrobles.com/legal4labor7.htm
7,Law Creating the POEA Executive Order No. 797,https://www.chanrobles.com/poeaexecutiveorderno797.htm
8,"POEA Rules & Regulations Governing the Recruitment and Employment of  Land-Based Overseas Workers (February 4, 2002)",https://www.chanrobles.com/poearulesgoverningoverseasemployment2002.html
9,"POEA Rules & Regulations Governing the Recruitment and Employment of Seafarers (May 23, 2003)",https://www.chanrobles.com/poearulesgoverningoverseasemployment2003.html
10,POEA Rules & Regulations Governing Overseas Employment (Old),https://www.chanrobles.com/poearulesgoverningoverseasemployment.htm
11,Reorganizing the Philippine Overseas Employment Administration and for Other Purposes Executive Order No. 247,https://www.chanrobles.com/poeaexecutiveorderno247.htm
12,Ministry Order Relative to the Organization & Establishment of the POEA,https://www.chanrobles.com/poeaexecutiveorderno797ministryorder.htm
13,"Medical Care Program for OFWs and Dependents DOLE Department Order No. 4, Series of 2001",https://www.chanrobles.com/doledepartmentorderno4-2001.html
14,"Revised Guidelines on the Training, Testing, Certification and Deployment of Overseas Performing Artists DOLE Department Order No. 10, Series of 2001",https://www.chanrobles.com/doledepartmentorderno10-2001.html
15,"Memorandum Circular No. 1, Series of 2002: HIV/AIDS Education in the PDOS",https://www.chanrobles.com/poeamemocircularno1seriesof2002.html
16,"Memorandum Circular No. 02, Series of 2002: Section 20 of the Revised Standard Terms and Conditions Governing the Employment of Filipino Seafarers on Board Ocean-Going Ships",https://www.chanrobles.com/poeamemocircularno2seriesof2002.html
17,"Memorandum Circular No. 4, Series of 2002: Guidelines on the Implementation of the Basic Safety Training and Instruction and Other Certification Requirements for All Seafarers",https://www.chanrobles.com/poeamemocircularno4seriesof2002.html
18,"Memorandum Circular No. 08, Series of 2002: Guidelines on the Renewal of Existing Land-Based License Under the 2002 POEA Rules and Regulations",https://www.chanrobles.com/poeamemocircularno8seriesof2002.html
19,"Memorandum Circular No. 09, Series of 2002: New Procedures in the Registration of Seafarers and Issuance of the Permanent Registration Number",https://www.chanrobles.com/poeamemocircularno9seriesof2002.html
20,"Memorandum Circular No. 13, Series of 2002: Compliance with International Maritime Regulations",https://www.chanrobles.com/poeamemocircularno13seriesof2002.html
21,"Memorandum Circular No. 17, Series of 2002 Special Recruitment Authority",https://www.chanrobles.com/poeamemocircularno17seriesof2002.html
22,"Memorandum Circular No. 1, Series of 2003: Pre-Departure Orientation Seminar (PDOS) for Agency-Hired Workers",http://www.chanrobles.com/poeamemocircularno1seriesof2003.html
23,"Memorandum Circular No. 02, Series of 2003: Deployment of Filipino Seafarers via Philippine Waterports and Seaports",https://www.chanrobles.com/poeamemocircularno2seriesof2003.html
24,"Memorandum Circular No. 04, Series of 2003: Guidelines on the Upgrading of Single Proprietorship or Partnership",https://www.chanrobles.com/poeamemocircularno4seriesof2003.html
25,"Memorandum Circular No. 07, Series of 2003: Guidelines Concerning Registration of Land-Based Name Hires",https://www.chanrobles.com/poeamemocircularno7seriesof2003.html
26,"Memorandum Circular No. 08, Series of 2003: Request to Require Lawyers to Indicate in the Pleading Their Number in the Roll of Attorneys",https://www.chanrobles.com/poeamemocircularno8seriesof2003.html
27,"Memorandum Circular No. 10, Series of 2003: Recruitment and Placement Activities of Immigration Consultancy Agencies and Other Similar Entities",https://www.chanrobles.com/poeamemocircularno10seriesof2003.html
28,"Memorandum Circular No. 14, Series of 2003: Guidelines on Transfer of Accreditation/Registration of Foreign Placement  Agencies (FPAs)",https://www.chanrobles.com/poeamemocircularno14seriesof2003.html
29,"Memorandum Circular No. 15, Series of 2003: Launching of the Philippine Seafarers'  One-Stop Center (PSOC)",https://www.chanrobles.com/poeamemocircularno15seriesof2003.html
30,"Memorandum Circular No. 18, Series of 2003: OFW Electronic ID Card for Seafarers 2",https://www.chanrobles.com/poeamemocircularno18seriesof2003.html
31,"Memorandum Circular No. 20, Series of 2003: Implementation of the E-Receipt System for Overseas Land-Based Workers Hired Through Recruitment Agencies",https://www.chanrobles.com/poeamemocircularno20seriesof2003.html
32,"Memorandum Circular No. 23, Series of 2003: Guidelines on the Registration of Principals Hiring Immigrant-Workers  and Documentation of Immigrant-Workers",https://www.chanrobles.com/poeamemocircularno23seriesof2003.html
33,"Memorandum Circular No. 24, Series of 2003: Guidelines on the Transfer of Registration/Accreditation of Land-Based Principals",https://www.chanrobles.com/poeamemocircularno24seriesof2003.html
34,"Memorandum Circular No. 25, Series of 2003: Guidelines on the Contracts E-Submission System for Land-Based Recruitment Agencies",https://www.chanrobles.com/poeamemocircularno25seriesof2003.html
35,"Memorandum Circular No. 26, Series of 2003: Streamlined Requirements in the Issuance of the Exit Clearance for Land-Based Workers",https://www.chanrobles.com/poeamemocircularno26seriesof2003.html
36,"Memorandum Circular No. 27, Series of 2003: Adoption of E-Receipt System for the Processing of Employment Contracts for Seafarers",https://www.chanrobles.com/poeamemocircularno27seriesof2003.html
37,"Memorandum Circular No. 28, Series of 2003: New Procedures on the Registration of Seafarers and Issuance of the Permanent Registration Number",https://www.chanrobles.com/poeamemocircularno28seriesof2003.html
38,"Memorandum Circular No. 29, Series of 2003: PDOS Requirement for US-Bound Workers With Employment-Based Immigrant Visa",https://www.chanrobles.com/poeamemocircularno29seriesof2003.html
39,"Memorandum Circular No. 1, Series of 2004: Guidelines on the Registration of Name Hires by the POEA Satellite Offices ",https://www.chanrobles.com/poeamemocircularno1seriesof2004.html
40,"Memorandum Circular No. 05, Series of 2004: Renewal of Accreditation/Registration of Sea-Based Principals ",http://www.chanrobles.com/poeamemocircularno5seriesof2004.html
41,"Memorandum Circular No. 10, Series of 2004: Guidelines on the E-Submission of Contracts of Filipino Seafarers Thru Licensed Manning Agencies ",https://www.chanrobles.com/poeamemocircularno10seriesof2004.html
42,"Memorandum Circular No. 11, Series of 2004: POEA Registered/Accredited Principals/Employers Conducting Recruitment Activity or Participating in the Special Recruitment Activity ",https://www.chanrobles.com/poeamemocircularno11seriesof2004.html
43,"Memorandum Circular No. 11-A, Series of 2004: Implementing Guidelines on the Issuance of Special Recruitment Authority for Recruitment Activity with the Participation of Authorized Representative/s of POEA Accredited/Registered Foreign Principals/Employers and Acknowledgment of Authorized Representatives",https://www.chanrobles.com/poeamemocircularno11-Aseriesof2004.html
