,link_text,href
0,"C014: Weekly Rest (Industry) Convention, 1921",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C014
1,"C078: Medical Examination of Young Persons (Non-Industrial Occupations) Convention, 1946",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C078
2,"C081: Labour Inspection Convention, 1947",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C081
3,"C096: Fee-Charging Employment Agencies Convention (Revised), 1949",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C096
4,"C102: Social Security (Minimum Standards) Convention, 1952",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C102
5,"C106: Weekly Rest (Commerce and Offices) Convention, 1957",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C106
6,"C115: Radiation Protection Convention, 1960",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C115
7,"C120: Hygiene (Commerce and Offices) Convention, 1964",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C120
8,"C121: Employment Injury Benefits Convention, 1964",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C121
9,"C124: Medical Examination of Young Persons (Underground Work) Convention, 1965",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C124
10,"C128: Invalidity, Old-Age and Survivors' Benefits Convention, 1967",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C128
11,"C129: Labour Inspection (Agriculture) Convention, 1969",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C129
12,"C130: Medical Care and Sickness Benefits Convention, 1969",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C130
13,"C131: Minimum Wage Fixing Convention, 1970",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C131
14,"C135: Workers' Representatives Convention, 1971",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C135
15,"C139: Occupational Cancer Convention, 1974",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C139
16,"C140: Paid Educational Leave Convention, 1974",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C140
17,"C142: Human Resources Development Convention, 1975",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C142
18,"C145: Continuity of Employment (Seafarers) Convention, 1976",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C145
19,"C146: Seafarers' Annual Leave with Pay Convention, 1976",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C146
20,"C147: Merchant Shipping (Minimum Standards) Convention, 1976",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C147
21,"C148: Working Environment (Air Pollution, Noise and Vibration) Convention, 1977",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C148
22,"C150: Labour Administration Convention, 1978",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C150
23,"C151: Labour Relations (Public Service) Convention, 1978",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C151
24,"C152: Occupational Safety and Health (Dock Work) Convention, 1979",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C152
25,"C154: Collective Bargaining Convention, 1981",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C154
26,"C155: Occupational Safety and Health Convention, 1981",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C155
27,"C156: Workers with Family Responsibilities Convention, 1981",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C156
28,"C160: Labour Statistics Convention, 1985",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C160
29,"C161: Occupational Health Services Convention, 1985",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C161
30,"C162: Asbestos Convention, 1986",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C162
31,"C163: Seafarers' Welfare Convention, 1987",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C163
32,"C164: Health Protection and Medical Care (Seafarers) Convention, 1987",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C164
33,"C166: Repatriation of Seafarers Convention (Revised), 1987",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C166
