,link_text,href
0,"C017 Workmen's Compensation (Accidents) Convention, 1925",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C017
1,"C019 Equality of Treatment (Accident Compensation) Convention, 1925",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C019
2,"C023 Repatriation of Seamen Convention, 1926",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C023
3,"C029 Forced Labour Convention, 1930",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C029
4,"C053 Officers' Competency Certificates Convention, 1936",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C053
5,"C059 Minimum Age (Industry) Convention (Revised), 1937",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C059
6,"C077 Medical Examination of Young Persons (Industry) Convention, 1946",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C077
7,"C087 Freedom of Association and Protection of the Right to Organise Convention, 1948",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C087
8,"C088 Employment Service Convention, 1948",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C088
9,"C089 Night Work (Women) Convention (Revised), 1948",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C089
10,"C090 Night Work of Young Persons (Industry) Convention (Revised), 1948",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C090
11,"C093 Wages, Hours of Work and Manning (Sea) Convention (Revised), 1949",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C093
12,"C094 Labour Clauses (Public Contracts) Convention, 1949",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C094
13,"C095 Protection of Wages Convention, 1949",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C095
14,"C098 Right to Organise and Collective Bargaining Convention, 1949",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C098
15,"C099 Minimum Wage Fixing Machinery (Agriculture) Convention, 1951",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C099
16,"C100 Equal Remuneration Convention, 1951",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C100
17,"C105 Abolition of Forced Labour Convention, 1957",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C105
18,"C110 Plantations Convention, 1958",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C110
19,"C111 Discrimination (Employment and Occupation) Convention, 1958",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C111
20,"C118 Equality of Treatment (Social Security) Convention, 1962",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C118
21,"C122 Employment Policy Convention, 1964",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C122
22,"C138 Minimum Age Convention, 1973",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C138
23,"C141 Rural Workers' Organisations Convention, 1975",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C141
24,"C143 Migrant Workers (Supplementary Provisions) Convention, 1975",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C143
25,"C144 Tripartite Consultation (International Labour Standards) Convention, 1976",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C144
26,"C149 Nursing Personnel Convention, 1977",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C149
27,"C157 Maintenance of Social Security Rights Convention, 1982",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C157
28,"C159 Vocational Rehabilitation and Employment (Disabled Persons) Convention, 1983",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C159
29,"C165 Social Security (Seafarers) Convention (Revised), 1987",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C165
30,"C176 Safety and Health in Mines Convention, 1995",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C176
31,"C179 Recruitment and Placement of Seafarers Convention, 1996",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C179
32,"C182 Worst Forms of Child Labour Convention, 1999",https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C182
