,link_text,href
0,"Department
Order No. 1, (Series of 2001) [Expansion of Learnable Trades]",https://www.chanrobles.com/doledepartmentorderno1-2001.html
1,"Department
Order No. 2, (Series of 2001) [Guidelines For the Conduct of Jobs Fair
By Private Entities, Non-Goverment Organizations and Educational
Institutions]",https://www.chanrobles.com/doledepartmentorderno2-2001.html
2,"Department
Order No. 3, (Series of 2001) [Revoking Department Order No. 10, Series
of 1997, and Continuing to Prohibit Labor-Only Contracting]",https://www.chanrobles.com/doledepartmentorderno03-2001.html
3,"Department
Order No. 4, (Series of 2001) [Medical Care Program for OFWs and
Dependents]",https://www.chanrobles.com/doledepartmentorderno4-2001.html
4,"Department
Order No. 5, (Series of 2001) [Increasing the Cash Benefit Under the
Sugar
Workers Death Benefit Program]",https://www.chanrobles.com/doledepartmentorderno5-2001.html
5,"Department
Order No. 6, (Series of 2001) [Omnibus Amendment to Department Order
No.
6, Series of 1994, Providing for the Policies and Implementing Rules
and
Regulations for the TESDA-JITCO Skills and Technology Transfer Project]",https://www.chanrobles.com/doledepartmentorderno6-2001.html
6,"Department
Order No. 7, (Series of 2001) [Guidelines for the Operation of Quick
Response
Teams (DOLE QRT Response Balik Trabaho]",https://www.chanrobles.com/doledepartmentorderno7-2001.html
7,"Department
Order No. 8, (Series of 2001) [Implementation of the Automatic
Additional
Lien of 1.00 Per Picul of Raw Sugar Produce Effective Crop Year
2001-2002]",https://www.chanrobles.com/doledepartmentorderno8-2001.html
8,"Department
Order No. 9, (Series of 2001) [Revised Service Fees of DOLE in
Compliance
with Executive Order No. 197 dated January 13, 2000]",https://www.chanrobles.com/doledepartmentorderno9-2001.html
9,"Department
Order No. 10, (Series of 2001) [Revised Guidelines on the Training,
Testing,
Certification and Deployment of Overseas Performing Artists]",https://www.chanrobles.com/doledepartmentorderno10-2001.html
10,"Department
Order No. 11, (Series of 2001) [Revoking POEA Memorandum Circular No.
41,
Series of 1994]",https://www.chanrobles.com/doledepartmentorderno11-2001.html
11,"Department
Order No. 12, (Series of 2001) [Omnibus Guidelines for the Issuance of
Employment Permits to Foreign Nationals]",https://www.chanrobles.com/doledepartmentorderno12-2001.html
12,"Department
Order No. 13, (Series of 2001) [Suspension of Labor Inspection
Activities]",https://www.chanrobles.com/doledepartmentorderno13-2001.html
13,"Department
Order No. 14, (Series of 2001) [Guidelines Governing the Employment and
Working Conditions of Security Guards and Similar Personnel in the
Private
Security Industry]",https://www.chanrobles.com/doledepartmentorderno14-2001.html
14,"Department
Order No. 15, (Series of 2001) [Rules on Internal Combustion Engine and
Power Piping Lines]",https://www.chanrobles.com/doledepartmentorderno15-2001.html
15,"Department
Order No. 16, (Series of 2001) [Training and Accreditation of Personnel
on Occupational Safety and Health]",https://www.chanrobles.com/doledepartmentorderno16-2001.html
16,"Department
Order No. 53-03, (Series of 2003) [Guidelines for the Implementation of
a Drug-Free Workplace Policies and Programs for the Private Sector]",https://www.chanrobles.com/doledepartmentorderno53-03seriesof2003.html
17,"DOLE
Rule  1160 (Boiler)",https://www.chanrobles.com/dolerule1160-2001.html
18,"DOLE
Rule 1170 (Unfired Pressure Vessels)
",https://www.chanrobles.com/dolerule1170-2001.html
